batch_id,date,product,line,api_lot,shift,granulation_water_pct,massing_time_min,inlet_air_temp_c,blend_time_min,compression_force_kn,press_speed_rpm,api_d90_um,room_humidity_pct,tablet_weight_mg,hardness_kp,dissolution_30min_pct,assay_pct,content_uniformity_rsd
B24-1000,2024-01-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.73,5.97,58.36,14.34,12.68,45.6,45.6,45.4,247.69,6.32,92.96,99.72,2.75
B24-1001,2024-01-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,30.82,5.32,60.43,15.42,11.88,47.4,42.9,47.2,249.68,5.87,92.41,102.17,3.29
B24-1002,2024-01-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.85,5.35,61.87,14.19,11.11,45.7,46.5,47.4,247.32,5.33,90.74,98.0,2.27
B24-1003,2024-01-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.73,6.19,59.35,14.52,11.6,41.0,46.9,44.1,251.85,5.27,92.64,100.94,1.91
B24-1004,2024-01-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.89,5.79,56.25,15.78,12.28,44.7,41.1,48.0,247.98,5.94,94.65,99.19,2.7
B24-1005,2024-01-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.31,4.97,57.44,15.5,12.2,46.9,42.4,48.8,256.18,5.75,92.34,100.31,1.96
B24-1006,2024-01-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.9,6.31,58.75,15.89,11.22,40.3,45.3,56.0,249.01,5.33,91.88,100.09,2.37
B24-1007,2024-01-29,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.28,6.11,59.16,14.84,11.64,42.3,44.4,54.5,250.16,5.8,92.43,98.88,2.26
B24-1008,2024-02-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,33.56,5.71,59.39,14.31,11.71,47.2,45.0,46.6,247.15,5.9,93.9,98.64,2.71
B24-1009,2024-02-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,33.66,5.47,60.06,14.86,11.82,45.7,43.3,48.7,253.75,6.2,94.9,100.25,2.06
B24-1010,2024-02-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.06,6.33,59.53,15.06,11.31,46.0,46.8,45.5,252.46,5.48,90.14,101.12,2.51
B24-1011,2024-02-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.13,6.14,61.57,15.05,11.69,49.6,46.6,48.4,250.65,6.01,90.54,99.88,2.75
B24-1012,2024-02-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,B,32.86,6.95,58.99,15.68,11.64,46.2,45.1,51.4,247.04,5.83,90.97,100.35,2.0
B24-1013,2024-02-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,31.32,6.17,58.71,14.78,12.39,46.6,47.3,54.4,250.46,6.35,88.53,100.54,2.37
B24-1014,2024-02-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,A,32.27,6.16,60.72,15.21,12.4,51.8,45.9,48.9,247.53,6.36,89.35,99.02,2.38
B24-1015,2024-02-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,31.98,5.93,57.7,14.41,11.93,44.5,43.3,49.4,253.22,6.7,89.02,100.58,1.93
B24-1016,2024-02-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0231,C,32.25,6.33,60.58,15.27,11.8,43.0,45.7,45.1,251.78,5.62,92.14,101.01,2.33
